t_us,openloop_el_angle_rad,sensor_raw,sensor_error
606448,-26.680906,1419,0
607699,-26.735918,2674,0
608948,-26.79093,1424,0
610198,-26.845942,1425,0
611448,-26.900953,1428,0
612699,-26.955965,1431,0
613954,-27.010977,1433,0
615198,-27.065989,1435,0
616448,-27.121,1437,0
617699,-27.176012,2048,0
618948,-27.231024,1440,0
620198,-27.286036,1441,0
621448,-27.341047,2653,0
622699,-27.396059,2047,0
623948,-27.451071,2650,0
625198,-27.506083,2047,0
626448,-27.561094,2048,0
627699,-27.616106,2048,0
628948,-27.671118,1455,0
630198,-27.72613,1458,0
631448,-27.781141,1462,0
632699,-27.836153,1465,0
633948,-27.891165,1468,0
635198,-27.946177,1471,0
636448,-28.001188,1475,0
637699,-28.0562,2047,0
638948,-28.111212,1483,0
640198,-28.166224,2608,0
641448,-28.221235,2604,0
642699,-28.276247,2601,0
643948,-28.331259,2598,0
645198,-28.386271,2048,0
646448,-28.441282,1503,0
647699,-28.496294,2048,0
648948,-28.551306,1510,0
650198,-28.606318,1514,0
651448,-28.661329,1517,0
652699,-28.716341,1520,0
653948,-28.771353,1523,0
655198,-28.826365,1527,0
656448,-28.881376,1530,0
657699,-28.936388,1534,0
658948,-28.9914,1536,0
660198,-29.046412,2557,0
661447,-29.101423,2555,0
662705,-29.156435,2553,0
663947,-29.211447,2551,0
665197,-29.266459,2549,0
666448,-29.32147,2048,0
667705,-29.376482,1551,0
668947,-29.431494,1553,0
670197,-29.486506,1555,0
671454,-29.541517,1558,0
672699,-29.596529,1560,0
673947,-29.651541,1561,0
675197,-29.706553,1563,0
676447,-29.761564,1565,0
677705,-29.816576,2048,0
678947,-29.871588,1570,0
680211,-29.9266,2048,0
681447,-29.981611,2521,0
682699,-30.036623,2518,0
683947,-30.091635,2515,0
685197,-30.146646,2513,0
686448,-30.201658,2047,0
687699,-30.25667,2510,0
688954,-30.311682,1586,0
690211,-30.366693,1589,0
691447,-30.421705,1590,0
692705,-30.476717,1591,0
693953,-30.531729,1593,0
695198,-30.58674,1595,0
696447,-30.641752,1597,0
697698,-30.696764,1599,0
698947,-30.751776,1602,0
700197,-30.806787,2048,0
